sample_id,group,status,input_dir,output_dir,slice_count,xy_um_per_pixel,z_um_per_slice,roi_pixel_count,frame_pixel_count,roi_fraction_of_frame,roi_area_um2,included_slice_count,z_spacing_um,sampled_depth_um,stack_span_um,sampled_roi_volume_um3,detection_positive_slice_count,detection_positive_z_min,detection_positive_z_max,detection_positive_slice_fraction,raw_2d_detection_count,raw_2d_detections_per_1000_um2_per_slice,saturn_classical_count,unet_rescued_count,unet_rescue_fraction,saturn_classical_2d_count,unet_primary_2d_count,unet_supported_2d_count,unet_rescued_2d_count,unet_rescued_direct_2d_count,unet_rescued_split_2d_count,unet_rescued_short_high_confidence_2d_count,unet_rescued_low_ratio_high_confidence_2d_count,unet_rescued_other_2d_count,unet_probability_supported_2d_count,median_probability_of_unet_supported,median_probability_of_unet_rescues,unet_rescue_fraction_of_2d_detections,estimated_unique_nuclei,estimated_unique_nuclei_classical_only,estimated_unique_nuclei_with_unet_evidence,estimated_unique_nuclei_unet_fraction,estimated_nuclei_per_1000_um2,estimated_nuclei_per_100000_um3,qc_technical_failure_track_count,qc_classical_only_3d_track_count,qc_unet_associated_3d_track_count,qc_analysis_population_unet_track_count,lower_z_boundary_track_count,upper_z_boundary_track_count,z_boundary_track_count,z_boundary_track_fraction,z_coverage_censored,normalization_valid,normalization_warning,median_2d_length_um,median_2d_width_um,median_2d_length_width_ratio,median_body_width_um,median_body_width_p90_um,median_area_length_width_um,median_length_body_width_ratio,body_width_available_fraction,median_projection_z_extent_um,median_3d_length_um_legacy_alias,median_3d_tortuosity,median_observed_slab_effective_thickness_um,median_3d_thickness_um_legacy_alias,median_observed_slice_mask_volume_um3,median_3d_volume_um3_legacy_alias,median_3d_z_span_um,acquisition_class,message
kj_sv_40xx0.75-1,KJ,complete,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-1,C:\Users\dmishra\Desktop\sperm_project\scratch\v571_rc6_report_replay_study_final\samples\kj_sv_40xx0.75-1\attempt_001,88.0,0.37841796875,0.34618410700236,318768.0,1048576.0,0.3040008544921875,45647.62830734253,88.0,0.34618410700236,30.464201416207683,30.11801730920532,1390618.542927066,88.0,0.0,87.0,1.0,26651.0,6.634567533020291,0.0,0.0,0.0,0.0,26651.0,26651.0,0.0,0.0,0.0,0.0,0.0,0.0,26651.0,0.9422,0.9422,0.0,5517.0,0.0,5517.0,1.0,120.86060556869232,396.7299320191325,249.0,0.0,5766.0,5517.0,53.0,253.0,306.0,0.0530697190426638,True,True,detections reach an acquisition Z boundary,9.92,1.514,5.322,1.5523,1.6923,1.5658,7.045072686098327,0.7806779046583288,10.19698420605453,10.19698420605453,1.1323619966509142,1.262565868114934,1.262565868114934,13.037861847295982,13.037861847295982,0.69236821400472,microscope=DMI8-CS; objective=HC PL APO CS2    40x/1.30 OIL; magnification=40; NA=1.3; zoom=0.75; gain=99.9981315396114; time_gate=0,
kj_sv_40xx0.75-10,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-11,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-12,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-13,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-14,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-15,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-16,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-17,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj_sv_40xx0.75-2,KJ,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\kj sv feb\kj sv 40xx0.75-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
